station_id,lat,lon,name,short_name,capacity,X,Y
42,45.50206,-73.56295,Square Victoria (Viger / du Square-Victoria),6043,19,612267.8361618131,5039729.696939655
1,45.51016276368593,-73.55663707494385,Métro Champ-de-Mars (Viger / Sanguinet),6001,35,612744.8447424585,5040638.731075378
2,45.539385081961676,-73.54099988937377,Ste-Catherine / Dezery,6002,19,613907.2993136812,5043907.316431168
3,45.510681491218264,-73.56707632541656,Ontario / Clark,6003,15,611928.3820639778,5040681.75580201
4,45.50965520472071,-73.55400860309601,du Champ-de-Mars / Gosford,6004,23,612951.176229625,5040586.036813452
5,45.52588991809354,-73.65003436803818,Brittany / Ainsley,6005,19,605419.9841722775,5042259.079580313
6,45.56129266944769,-73.57611326515325,de Bellechasse / Pie-IX,6006,23,611122.7444405246,5046291.959401331
7,45.51166045593874,-73.56213569641113,de l'Hôtel-de-Ville / Ste-Catherine,6007,31,612312.3551134038,5040797.414162482
8,45.512936177874096,-73.56124520301817,Ste-Catherine / Sanguinet,6008,47,612379.3722992623,5040940.388649825
9,45.498132074644275,-73.57762072817422,Crescent / de Maisonneuve,6009,0,611129.4350254863,5039272.914320559
10,45.611230741550536,-73.5312415660519,de Grosbois / Duchesneau,6901,15,614522.9887258082,5051903.112891167
11,45.51411170862938,-73.552655428648,St-André / St-Antoine,6011,27,613047.9526191024,5041083.04415952
12,45.51064978555748,-73.56511591007802,Métro St-Laurent (de Maisonneuve / St-Laurent),6012,23,612081.5762371765,5040680.9678814495
13,45.51340553558378,-73.56259435415267,Sanguinet / de Maisonneuve,6013,0,612273.0586675187,5040990.645440431
14,45.51372291221464,-73.5603104531765,St-Denis / Ste-Catherine,6014,43,612450.817065513,5041029.100965067
15,45.514690595934766,-73.55990141630173,Berri /Ste-Catherine,6015,26,612480.8377122429,5041137.180447534
16,45.47259900304475,-73.5398056358099,Jacques-Le Ber / de la Pointe Nord,6016,27,614135.4506095869,5036489.304120344
17,45.52063377251984,-73.56390595436096,Atateken / du Square Amherst,6017,0,612156.2490788711,5041791.846657411
18,45.51889,-73.56353,St-André / Ontario,6018,19,612189.0764476188,5041598.644208376
19,45.51814312154928,-73.56800436973572,Métro Sherbrooke (de Rigaud / Berri),6019,23,611841.1069217403,5041509.4258923605
20,45.513591550752274,-73.56625556945801,de l'Hôtel-de-Ville / Ontario,6020,27,611986.7199879314,5041006.198354798
21,45.52111152278944,-73.56231406331062,Montcalm / Ontario,6902,0,612279.621885912,5041847.148292282
22,45.51086,-73.54983,de la Commune / Berri,6023,51,613275.1623611414,5040725.771760966
23,45.59926552299961,-73.51226069033146,des Ormeaux / Notre-Dame,6024,27,616027.640554836,5050601.08887907
24,45.50714391928411,-73.55511903762817,Notre-Dame / St-Gabriel,6025,15,612869.4568123869,5040305.479989663
25,45.50761009451047,-73.55183601379395,de la Commune / Place Jacques-Cartier,6026,81,613124.9812197946,5040361.890132851
26,45.502053864057466,-73.57346534729004,de Maisonneuve / Mansfield (sud),6027,0,611446.3519080076,5039714.369518144
28,45.48067368593179,-73.58351558446884,Bourget / St-Jacques,6029,19,610703.0772863025,5037325.211522287
30,45.50459069556304,-73.55918794870377,St-Antoine / St-François-Xavier,6031,18,612556.6968806061,5040016.114498059
31,45.50631445605528,-73.55967122894072,Métro Place-d'Armes (Viger / St-Urbain),6032,29,612515.5082824323,5040206.941242428
34,45.50531166520915,-73.56089115142822,Viger / Chenneville,6035,38,612422.2072378794,5040093.826040607
35,45.50424245563397,-73.553469479084,de la Commune / St-Sulpice,6036,43,613004.1208883291,5039985.456983427
36,45.501966859101564,-73.55515256524086,St-Nicolas / Place d'Youville,6037,23,612877.1856440641,5039730.279026433
37,45.49996470926352,-73.55615437030792,Place d'Youville / McGill,6038,19,612802.9198103849,5039506.439545124
38,45.5008764952487,-73.55900555849075,des Récollets / McGill,6039,23,612578.3491065447,5039603.735193338
39,45.502939709023714,-73.56064036488532,St-Antoine / Jean-Paul Riopelle,6040,23,612446.5214544741,5039830.660866184
40,45.50144108135568,-73.56014415621758,St-Jacques / McGill,6041,27,612488.2714130426,5039664.863361848
41,45.50060578095098,-73.56544822454453,de la Gauchetière / Robert-Bourassa,6042,27,612075.5517795023,5039564.648941993
43,45.521564270906616,-73.57036739587784,Roy / St-André,6044,23,611649.78357209,5041886.216056198
45,45.49831217703312,-73.56725603342056,Métro Bonaventure (de la Gauchetière / de la Cathédrale),6046,31,611938.8613061515,5039307.316336042
46,45.508140959417744,-73.57492983341217,Milton / Durocher,6204,27,611319.9406511219,5040388.594143038
47,45.49891911390352,-73.55725407600403,William / St-Henri,6048,15,612719.0904119863,5039388.733561494
48,45.49760527699099,-73.55534970760345,Queen / Wellington,6049,47,612870.5001640498,5039245.4453516
49,45.49837045828952,-73.56055587530136,Robert-Bourassa / St-Maurice,6050,35,612462.2201993004,5039323.151205147
50,45.5315079142152,-73.60308364033699,Henri-Julien / de Bellechasse,6051,19,609075.5339350749,5042945.948518367
51,45.49750375338383,-73.55284452438353,de la Commune / King,6052,70,613066.4326438436,5039237.690056461
52,45.508204615051355,-73.56881439685822,Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance),6053,27,611797.5228309856,5040404.161794405
55,45.49788352593901,-73.56856763362885,Place du Canada (Peel / de la Gauchetière),6057,22,611837.2363598647,5039257.867524776
56,45.499330334344556,-73.57175691987322,Cypress / Peel,6058,27,611585.2011947702,5039414.166925559
57,45.49790394592446,-73.57077571808077,Stanley / René-Lévesque,6059,43,611664.6798094109,5039257.063840017
58,45.507837541505836,-73.56313616037369,St-Urbain / René-Lévesque,6060,33,612241.8082770831,5040371.302078316
59,45.500989292488576,-73.57050284743309,Mansfield / Cathcart,6061,23,611679.8981097282,5039600.214543369
60,45.49863930330429,-73.57422709465027,Drummond / Ste-Catherine,6062,31,611393.5758676054,5039333.966824016
61,45.499515390738885,-73.57602953910826,Drummond / de Maisonneuve,6063,47,611251.0283066572,5039428.79879124
62,45.50038,-73.57507,Métro Peel (de Maisonneuve / Stanley),6064,49,611324.2900908255,5039526.183479061
63,45.500015468871446,-73.57938900589943,de la Montagne / Sherbrooke,6065,19,610987.5802551636,5039479.707745648
64,45.51366626207095,-73.53842496871948,Quai de la navette fluviale,6067,19,614160.3500714661,5041053.690397649
65,45.562509038048915,-73.61656039953232,2e avenue / Jean-Rivard,6068,31,607963.8566348745,5046371.869698946
67,45.50667774019704,-73.57704609632492,University / Milton,6070,0,611157.5089452331,5040223.103854647
68,45.505173440423306,-73.5706517100334,de Maisonneuve / Aylmer (ouest),6073,37,611659.9949127738,5040064.85214388
69,45.556544521001896,-73.53013157844543,St-Clément / Ste-Catherine,6076,15,614720.8900078291,5045829.167454215
71,45.50527354034462,-73.5674786567688,St-Alexandre / Ste-Catherine,6078,27,611907.6730844352,5040080.389669978
72,45.47393028235147,-73.60473453998564,Métro Vendôme (de Marlowe / de Maisonneuve),6080,31,609057.7585988276,5036547.026500661
73,45.49582294706495,-73.57696294784546,Mackay / Ste-Catherine,6081,0,611185.3719254481,5039017.288694946
74,45.54990048023633,-73.58308374881744,5e avenue / Rosemont,6082,19,610601.107097182,5045016.684018643
75,45.50434678685089,-73.56894850730896,Aylmer / Ste-Catherine,6083,47,611794.6843703969,5039975.383292832
76,45.49585490917429,-73.5544940829277,Duke / Nazareth,6084,27,612940.8496286093,5039052.188447897
77,45.49544692088696,-73.56329441070557,Peel / Notre-Dame,6085,0,612254.0719378307,5038994.525525081
78,45.52795093787009,-73.59502326697111,Henri-Julien / du Carmel,6089,23,609711.8269884725,5042561.76306556
79,45.49487159597493,-73.57112377882004,Métro Lucien-L'Allier  (Lucien l'Allier / Argyle),6090,17,611643.4792414866,5038919.696603449
80,45.491686521008035,-73.57676714658737,Joseph-Manseau / René-Lévesque,6091,19,611208.8129244553,5038558.017590547
81,45.49600732302391,-73.57334746981905,Crescent / René-Lévesque,6092,31,611467.4933249246,5039042.783410872
82,45.5353599615622,-73.60363483428955,Métro Beaubien (de Chateaubriand / Beaubien),6912,23,609025.0504382859,5043373.15128057
83,45.48952522221574,-73.5844581949641,Métro Atwater (Atwater / Ste-Catherine),6194,35,610612.0817122197,5038307.285842547
84,45.491750449903954,-73.58394473791122,Chomedey / de Maisonneuve,6095,19,610647.845656274,5038555.207733626
85,45.493514106710734,-73.56848180294037,Lucien L'Allier / St-Jacques,6096,23,611852.5939061958,5038772.56003895
86,45.49228068089086,-73.58096480369566,Ste-Catherine / Towers,6097,0,610879.6506031995,5038618.223637974
87,45.49658063218649,-73.5762146115303,Ste-Catherine / Bishop,6098,27,611242.3489274911,5039102.5010208385
88,45.51473288454674,-73.55961576104164,Ste-Catherine / Labelle,6099,31,612503.0648430584,5041142.278782531
89,45.49682986230046,-73.57913017272949,Mackay / de Maisonneuve,6100,35,611014.0629622816,5039126.155668961
90,45.4789683985657,-73.61959934234618,Métro Villa-Maria (de Monkland / Décarie),6101,26,607886.2723258692,5037086.673725987
91,45.493245802758366,-73.58368472341681,Lincoln / du Fort,6102,15,610665.2333780502,5038721.694270698
92,45.538859462962286,-73.5528177022934,de Rouen / Lespérance,6103,27,612985.7134198905,5043832.217214682
93,45.51679746990879,-73.55416417121887,Wolfe / René-Lévesque,6104,27,612924.7364784856,5041379.300584359
94,45.51862424058306,-73.55219006538391,René-Lévesque / Panet,6105,19,613075.2607026867,5041585.0274301125
95,45.52097057660443,-73.5499919950962,René-Lévesque / Papineau,6106,25,613242.2235136278,5041848.796103321
96,45.49384690142783,-73.57917845249176,Ste-Catherine / St-Mathieu,6107,0,611016.1530371361,5038794.6925438875
97,45.52836601591233,-73.55117082595825,Logan / Fullum,6108,19,613135.3320222592,5042668.744967853
98,45.50265866521738,-73.52753520011902,Parc Plage,6109,19,615033.3464963178,5039846.323674502
99,45.53006276144042,-73.54559183120728,Frontenac / Ste-Catherine,6110,19,613567.5643806293,5042865.12632474
100,45.526179830406086,-73.54922890663147,Ste-Catherine / Parthenais,6111,23,613291.3603300329,5042428.604957992
101,45.519131967116216,-73.55788965214742,Montcalm / de Maisonneuve,6112,19,612629.1062401312,5041633.422935599
102,45.52123044585842,-73.55386108160019,Alexandre-DeSève / Ste-Catherine,6113,19,612939.5379717749,5041872.216681241
103,45.52353,-73.55199,Métro Papineau (Cartier / Ste-Catherine),6114,25,613081.0560345366,5042130.323930216
104,45.46693565237702,-73.63153114914894,Parc Benny (Benny / de Monkland),6115,23,606976.5021892221,5035733.929914579
105,45.523594936648244,-73.56099039316177,Plessis / Ontario,6116,15,612378.0515014023,5042124.900002939
106,45.50538591756765,-73.5704317688942,de Maisonneuve / Aylmer (est),6117,21,611676.7563391846,5040088.763473003
107,45.52435882510794,-73.56053441762924,Alexandre-DeSève  / Ontario,6118,0,612412.1386599949,5042210.404073591
108,45.526991277453526,-73.55821162462234,Dorion / Ontario,6119,0,612588.279300513,5042506.116737484
109,45.533705987798946,-73.55217933654784,Métro Frontenac (Ontario / du Havre),6120,23,613045.8799226726,5043260.579465359
110,45.53456256501449,-73.55478646466509,du Havre / de Rouen,6121,27,612840.602591323,5043352.074263604
111,45.53061161207863,-73.54911457747221,Logan / d'Iberville,6122,19,613291.3893764231,5042921.124144874
112,45.52330366033427,-73.55799973011017,la Fontaine / Alexandre-de-Sève,6123,19,612612.184829693,5042096.730780575
113,45.531836726498305,-73.55348825454712,Poupart / Ontario,6124,15,612947.4223467219,5043051.067302308
114,45.499797390231926,-73.6301752924919,de la Peltrie / de la Côte-des-Neiges,6125,31,607020.2432801762,5039386.552508242
115,45.5321322155395,-73.55876013636589,Fullum / de Rouen,6126,27,612535.1920822207,5043076.490758891
116,45.53789110878484,-73.6182153224945,Henri-Julien / de Castelnau,6127,23,607881.8015202094,5043634.653619563
117,45.535295480380306,-73.55116009712219,Hogan / Ontario,6128,11,613122.2743684106,5043438.603539871
118,45.5367,-73.56081,Sherbrooke / Frontenac,6130,15,612366.0357697767,5043581.086853923
119,45.53407048533949,-73.56265068054199,Parc Baldwin (Fullum / Sherbrooke),6131,35,612227.5548949216,5043286.379943318
120,45.535690028316374,-73.56586396694183,Terrasse Mercure / Fullum,6133,15,611973.449100162,5043461.818868992
121,45.529914321737415,-73.56302618980408,Bordeaux / Sherbrooke,6129,19,612206.5013769581,5042824.117179282
122,45.50928678961862,-73.57101917266846,Jeanne-Mance / Sherbrooke,6202,0,611623.1572043062,5040521.320691404
123,45.5074070831929,-73.57849717140198,University / Prince-Arthur,6047,0,611042.7207537428,5040302.123894682
124,45.50975858607626,-73.57610732316971,Hutchison / Prince-Arthur,6079,0,611224.774226895,5040566.675518771
125,45.54303187243879,-73.56256484985352,André-Laurendeau / Rachel,6022,0,612216.4259409681,5044282.085318344
126,45.4912258547597,-73.58763009309769,Atwater / Sherbrooke,6093,23,610360.9047278975,5038491.857172728
127,45.533348,-73.605834,Drolet / Beaubien,6913,23,608857.2274972392,5043146.643227135
128,45.531957916826386,-73.60700100660324,de Gaspé / Beaubien,6915,19,608768.7873566526,5042990.62694324
129,45.544580831168204,-73.5717111825943,Parc du Pélican (2e avenue / St-Joseph),6916,19,611499.3380264371,5044441.4223241
130,45.53879934493943,-73.58870029449461,Marquette / des Carrières,6918,27,610184.3829340001,5043775.651283028
131,45.54740777921938,-73.60766887664795,Métro Fabre (Marquette / Jean-Talon),6923,19,608686.8622537528,5044706.160142689
132,45.5517742671765,-73.60347837231528,Louis-Hémon / Jean-Talon,6925,19,609005.5341116061,5045196.949925003
133,45.501804363327565,-73.57434511184692,Metcalfe / de Maisonneuve,6072,31,611378.1136105962,5039685.430385841
134,45.522402573414084,-73.58117669820786,Drolet / Marie-Anne,6075,0,610803.9682610963,5041964.373488996
135,45.53840340979245,-73.56196403503418,Bercy / Rachel,6134,15,612272.543140613,5043768.715983513
136,45.5291345371163,-73.55923354625702,Larivière / de Lorimier,6132,35,612504.204842491,5042742.793809938
137,45.52809995527671,-73.58843871625139,Métro Laurier (Berri / Laurier),6136,0,610225.7085308043,5042587.338534569
138,45.52966629503036,-73.56733649969101,Gauthier / Papineau,6137,0,611870.4226117698,5042790.546154105
139,45.53166363055749,-73.56536373496056,Gauthier / de Lorimier,6138,15,612020.5007934499,5043015.195514832
140,45.53292625574653,-73.56377989053726,Gauthier / Parthenais,6139,15,612141.6615901605,5043157.681082944
141,45.52983801723605,-73.5703244805336,Marquette / Rachel,6140,15,611636.7653113869,5042805.46421887
142,45.533313304815366,-73.56671154499054,des Érables / Rachel,6141,19,611911.987754312,5043196.589553815
143,45.527831544563064,-73.5719096660614,Calixa-Lavallée / Rachel,6142,30,611516.9515894621,5042580.347668835
144,45.52689,-73.57264,Rachel / de Brébeuf,6143,29,611461.7812570294,5042474.73055172
145,45.52451761488783,-73.57197672128677,du Parc-La Fontaine / Duluth,6145,0,611518.264549431,5042212.08680753
146,45.52286653749578,-73.56837719678879,du Parc-La Fontaine / Roy,6146,23,611802.6313622716,5042033.663551126
147,45.52479,-73.56545,Calixa-Lavallée / Sherbrooke,6147,23,612027.4116195517,5042251.43503775
148,45.52733971427933,-73.56485076248646,Émile-Duployé / Sherbrooke,6148,27,612069.1433092197,5042535.5370643
149,45.53867,-73.56936,Chapleau / du Mont-Royal,6149,11,611694.5882135154,5043788.014244245
150,45.53711414,-73.5710031,Messier / du Mont-Royal,6150,0,611569.3841563724,5043612.877202853
151,45.53640396516409,-73.57141345739365,Parthenais / du Mont-Royal,6151,23,611538.7497837866,5043533.408422949
152,45.53413436610844,-73.57352435588837,Chabot / Mont-Royal,6152,0,611378.4203735582,5043278.331109937
153,45.53176697148175,-73.5724139213562,Marie-Anne / Papineau,6153,23,611469.7998562522,5043016.861761488
154,45.53221791147474,-73.57543140649796,Marquette / du Mont-Royal,6154,19,611233.2981463405,5043062.774011975
155,45.53022106537559,-73.57699647545813,de Lanaudière / du Mont-Royal,6155,27,611115.0274537657,5042838.762577033
156,45.527550507601894,-73.5762870311737,Marie-Anne / de la Roche,6156,19,611175.6861211014,5042543.053696366
157,45.52927839879717,-73.57792854309082,de Brébeuf / du Mont-Royal,6157,27,611044.1026347426,5042732.745297818
158,45.530845821364125,-73.58157970011233,Gilford / de Brébeuf,6158,0,610755.9217981388,5042901.837185699
159,45.49449368327543,-73.55676054954529,Ann / Wellington,6159,19,612766.4830858607,5038897.776610276
160,45.5330129192707,-73.58128666877745,Garnier / St-Joseph,6160,23,610774.5475517707,5043142.999905788
161,45.53582823686429,-73.57869029045105,Cartier / St-Joseph,6161,19,610971.7362396395,5043459.360138342
162,45.52952466565309,-73.60488876700401,St-Dominique / de Bellechasse,6162,31,608938.4138795754,5042723.164019586
163,45.53543,-73.5822,Marquette / Laurier,6163,27,610698.4907811326,5043410.270718391
164,45.5333136054992,-73.58373686671257,de Lanaudière / Laurier,6164,19,610582.644922849,5043173.0268320395
165,45.532513956311426,-73.58481109142303,Laurier / de Brébeuf,6165,23,610500.3354114033,5043082.708728762
166,45.53383521794791,-73.58928233385086,Gerry-Boulet / St-Grégoire,6166,23,610148.6346752128,5043223.351698625
167,45.5358215436799,-73.58710169792175,Garnier / St-Grégoire,6167,27,610315.0133566592,5043447.021626757
168,45.530846300478125,-73.59832721208477,Marmier / St-Denis,6168,0,609448.2127344876,5042878.91933183
169,45.527432126380575,-73.57991673052311,Boyer / du Mont-Royal,6169,18,610892.4817916871,5042524.881482298
170,45.53085004901257,-73.5884964466095,de Mentana / Boucher,6170,23,610215.8282213596,5042892.786690564
171,45.51958082831579,-73.5601159930229,Wolfe / Robin,6171,23,612454.334856281,5041680.169264496
173,45.519266156911335,-73.5692971944809,Berri / Cherrier,6173,39,611737.9123491463,5041632.391550803
174,45.51908,-73.5727,Roy / St-Denis,6174,23,611472.5217635789,5041606.979969549
175,45.52051578783967,-73.567695915699,St-André / Cherrier,6175,31,611860.4950906488,5041773.451458395
176,45.52551168509886,-73.57424452900887,du Parc-Lafontaine / Rachel,6176,0,611339.204452804,5042319.377293226
177,45.522425652788634,-73.57418417930603,St-Hubert / Duluth,6177,2,611350.0063420878,5041976.612119337
178,45.52435318759273,-73.57596650719643,St-André / Rachel,6178,15,611207.0163127375,5042188.28492117
179,45.52080238036152,-73.575798869133,Duluth  / St-Denis,6179,23,611227.1056885341,5041794.033271955
180,45.498846367453694,-73.55462982326571,des Soeurs-Grises / Marguerite d'Youville,6180,39,612924.2632099894,5039384.3380663255
181,45.5173538,-73.58212888,Clark / Rachel,6181,31,610739.51284177,5041402.156626299
182,45.52141314643908,-73.58498811721802,de Bullion / du Mont-Royal,6182,15,610508.2513167434,5041849.19786956
183,45.5223645775784,-73.58414590358734,Laval / du Mont-Royal,6183,0,610572.1613907488,5041956.058579913
184,45.524673,-73.58255,Métro Mont-Royal (Rivard / du Mont-Royal),6184,39,610692.2661964882,5042214.716569432
185,45.54912085535069,-73.60087350010872,des Érables / Bélanger,6185,15,609213.996579069,5044905.7043771455
186,45.52895039362793,-73.587866127491,St-Hubert / Laurier,6186,15,610268.7585307194,5042682.606123268
187,45.52562819123256,-73.58177483081818,Resther / du Mont-Royal,6187,23,610750.9262073726,5042321.904570946
188,45.526026565221414,-73.57785880565643,de Mentana / Marie-Anne,6188,19,611055.9482698931,5042371.572644596
189,45.552289376429215,-73.61300647258759,Chabot / Villeray,6189,15,608260.8314120736,5045241.278177189
190,45.527009334270645,-73.58576595783234,Pontiac / Gilford,6190,0,610436.552195794,5042469.847158727
191,45.53140956373919,-73.61271411180496,St-Zotique / Clark,6191,11,608323.7484056195,5042921.980976651
192,45.528150161032585,-73.59169363975525,Boucher / St-Denis,6192,23,609971.4417495233,5042588.4521058975
193,45.521495731487576,-73.5968267172575,de l'Esplanade / Fairmount,6193,15,609583.5343546295,5041842.145754808
194,45.52557815939422,-73.59285570681095,de Gaspé / Fairmount,6094,23,609885.7075227846,5042301.119029031
195,45.52404631813311,-73.59015061847458,de Bullion / St-Joseph,6195,31,610099.9393213515,5042134.642307728
196,45.52142922483992,-73.58953826151264,Villeneuve / St-Laurent,6196,0,610152.8683018197,5041844.731152911
197,45.53898439552301,-73.5824453830719,de Bordeaux / Masson,6197,19,610672.3577178426,5043804.815828117
198,45.52974,-73.59527,Hélène-Baillargeon / St-Denis,6198,23,609689.0820604475,5042760.185483445
199,45.5251943015533,-73.59935637563467,Clark / St-Viateur,6199,0,609378.8076869692,5042249.596063978
200,45.524628485592636,-73.5958108305931,Maguire / St-Laurent,6200,23,609656.7843122641,5042191.572399938
201,45.52348082760688,-73.58732756238169,de l'Hôtel-de-Ville / Villeneuve,6201,23,610321.5061207769,5042075.69350149
202,45.50629456823703,-73.57282698154448,Aylmer / Sherbrooke,6203,27,611487.85079902,5040186.383454937
203,45.50936142835129,-73.57386365532875,Milton / du Parc,6205,0,611400.8172692833,5040525.662759474
204,45.51059,-73.57547,Prince-Arthur / du Parc,6206,23,611272.9187849464,5040659.925842589
205,45.51283174510449,-73.57688784599304,Ste-Famille / des Pins,6207,11,611157.754434229,5040907.0126956105
206,45.51069,-73.57805,Hutchison / des Pins,6208,23,611071.1937151193,5040667.463591652
207,45.512640029999396,-73.57060074806213,Milton / Clark,6209,27,611649.2103487852,5040894.436485725
