fid,id,StopCode,location,stop_id,stop_name,stop_code,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,CenDeg,CatCenDeg,Clossnes,CatClossnes
"1","1000000000000000","43","(609237.1430292855, 5033498.054297129)","43",Station Angrignon,"10118",,"45.446466","-73.603118",,http://www.stm.info/fr/infos/reseaux/metro/angrignon,"0",STATION_M118,,"2",,,0.028169014085,"1",5.347338266889,"3"
"2","1000000000000001","42","(610000.3287007888, 5034032.7825292135)","42",Station Monk,"10120",,"45.451158","-73.593242",,http://www.stm.info/fr/infos/reseaux/metro/monk,"0",STATION_M120,,"2",,,0.056338028169,"2",5.728795601103,"3"
"3","1000000000000002","41","(610892.0753887842, 5034698.786736895)","41",Station Jolicoeur,"10122",,"45.457010","-73.581691",,http://www.stm.info/fr/infos/reseaux/metro/jolicoeur,"0",STATION_M122,,"2",,,0.056338028169,"2",6.151673270823,"3"
"4","1000000000000003","40","(611643.3344205623, 5034982.247847549)","40",Station Verdun,"10124",,"45.459441","-73.572021",,http://www.stm.info/fr/infos/reseaux/metro/verdun,"0",STATION_M124,,"2",,,0.056338028169,"2",6.62204109213,"4"
"5","1000000000000004","39","(612025.2444608925, 5035261.649756883)","39",Station De l'Église,"10126",,"45.461894","-73.567074",,http://www.stm.info/fr/infos/reseaux/metro/de-l-eglise,"0",STATION_M126,,"2",,,0.056338028169,"2",7.147089657687,"4"
"6","1000000000000005","38","(612070.1610762374, 5036281.413484908)","38",Station LaSalle,"10128",,"45.471063","-73.566267",,http://www.stm.info/fr/infos/reseaux/metro/lasalle,"0",STATION_M128,,"2",,,0.056338028169,"2",7.735378999038,"5"
"7","1000000000000006","37","(611815.6260173107, 5037099.470862401)","37",Station Charlevoix,"10130",,"45.478465","-73.569336",,http://www.stm.info/fr/infos/reseaux/metro/charlevoix,"0",STATION_M130,,"2",,,0.056338028169,"2",8.397150966636,"5"
"8","1000000000000007","36","(610960.1603284106, 5037533.709295459)","36",Station Lionel-Groulx,"10132",,"45.482509","-73.580180",,http://www.stm.info/fr/infos/reseaux/metro/lionel-groulx,"0",STATION_M132,,"1",,,0.112676056338,"5",9.144723412941,"5"
"9","1000000000000008","35","(610505.2325487375, 5038365.722962922)","35",Station Atwater,"10134",,"45.490068","-73.585812",,http://www.stm.info/fr/infos/reseaux/metro/atwater,"0",STATION_M134,,"2",,,0.056338028169,"2",8.798608383368,"5"
"10","1000000000000009","34","(611002.4886425597, 5038985.940638659)","34",Station Guy-Concordia,"10136",,"45.495570","-73.579310",,http://www.stm.info/fr/infos/reseaux/metro/guy-concordia,"0",STATION_M136,,"2",,,0.056338028169,"2",8.445318180594,"5"
"11","1000000000000010","33","(611351.0409576504, 5039582.112561911)","33",Station Peel,"10138",,"45.500879","-73.574715",,http://www.stm.info/fr/infos/reseaux/metro/peel,"0",STATION_M138,,"2",,,0.056338028169,"2",8.08956301914,"5"
"12","1000000000000011","32","(611589.2011946456, 5039940.298199057)","32",Station McGill,"10140",,"45.504064","-73.571586",,http://www.stm.info/fr/infos/reseaux/metro/mcgill,"0",STATION_M140,,"2",,,0.056338028169,"2",7.735378999038,"5"
"13","1000000000000012","31","(611827.2851968921, 5040406.401831473)","31",Station Place-des-Arts,"10142",,"45.508220","-73.568433",,http://www.stm.info/fr/infos/reseaux/metro/place-des-arts,"0",STATION_M142,,"2",,,0.056338028169,"2",7.386122756607,"4"
"14","1000000000000013","30","(612097.7585634805, 5040723.844308116)","30",Station Saint-Laurent,"10144",,"45.511033","-73.564899",,http://www.stm.info/fr/infos/reseaux/metro/saint-laurent,"0",STATION_M144,,"2",,,0.056338028169,"2",7.044499853988,"4"
"16","1000000000000015","29","(612790.0196533557, 5041602.867757086)","29",Station Beaudry,"10148",,"45.518831","-73.555837",,http://www.stm.info/fr/infos/reseaux/metro/beaudry,"0",STATION_M148,,"2",,,0.056338028169,"2",6.392042559263,"4"
"17","1000000000000016","28","(613024.4578247704, 5042180.2020486975)","28",Station Papineau,"10150",,"45.523988","-73.552703",,http://www.stm.info/fr/infos/reseaux/metro/papineau,"0",STATION_M150,,"2",,,0.056338028169,"2",6.083886237535,"3"
"18","1000000000000017","27","(613044.9836065988, 5043238.11549806)","27",Station Frontenac,"10152",,"45.533504","-73.552196",,http://www.stm.info/fr/infos/reseaux/metro/frontenac,"0",STATION_M152,,"2",,,0.056338028169,"2",5.788861610027,"3"
"19","1000000000000018","26","(612872.6994433287, 5044147.747788603)","26",Station Préfontaine,"10154",,"45.541717","-73.554192",,http://www.stm.info/fr/infos/reseaux/metro/prefontaine,"0",STATION_M154,,"2",,,0.056338028169,"2",5.507358364652,"3"
"20","1000000000000019","25","(613081.1122123093, 5044719.953805954)","25",Station Joliette,"10156",,"45.546832","-73.551391",,http://www.stm.info/fr/infos/reseaux/metro/joliette,"0",STATION_M156,,"2",,,0.056338028169,"2",5.239503450119,"3"
"21","1000000000000020","24","(613038.7948437338, 5045481.122207287)","24",Station Pie-IX,"10158",,"45.553688","-73.551757",,http://www.stm.info/fr/infos/reseaux/metro/pie-ix,"0",STATION_M158,,"2",,,0.056338028169,"2",4.985216036626,"3"
"22","1000000000000021","23","(613354.6447132743, 5046264.657610828)","23",Station Viau,"10160",,"45.560687","-73.547530",,http://www.stm.info/fr/infos/reseaux/metro/viau,"0",STATION_M160,,"2",,,0.056338028169,"2",4.744255003706,"2"
"23","1000000000000022","22","(613352.4881966006, 5047220.149830518)","22",Station Assomption,"10162",,"45.569285","-73.547336",,http://www.stm.info/fr/infos/reseaux/metro/assomption,"0",STATION_M162,,"2",,,0.056338028169,"2",4.516259108845,"2"
"24","1000000000000023","21","(613386.1220349038, 5048060.712189809)","21",Station Cadillac,"10164",,"45.576843","-73.546710",,http://www.stm.info/fr/infos/reseaux/metro/cadillac,"0",STATION_M164,,"2",,,0.056338028169,"2",4.30078033929,"2"
"25","1000000000000024","20","(613653.3071250715, 5048720.475424786)","20",Station Langelier,"10166",,"45.582736","-73.543133",,http://www.stm.info/fr/infos/reseaux/metro/langelier,"0",STATION_M166,,"2",,,0.056338028169,"2",4.097311139565,"2"
"26","1000000000000025","19","(613941.1965845396, 5049469.760168598)","19",Station Radisson,"10168",,"45.589431","-73.539269",,http://www.stm.info/fr/infos/reseaux/metro/radisson,"0",STATION_M168,,"2",,,0.056338028169,"2",3.905306285102,"2"
"27","1000000000000026","18","(614230.3694556422, 5050268.651355091)","18",Station Honoré-Beaugrand,"10170",,"45.596572","-73.535376",,http://www.stm.info/fr/infos/reseaux/metro/honore-beaugrand,"0",STATION_M170,,"1",,,0.028169014085,"1",3.724200175759,"2"
"28","1000000000000027","65","(602885.8929450687, 5040922.026392696)","65",Station Côte-Vertu,"10222",,"45.514237","-73.682757",,http://www.stm.info/fr/infos/reseaux/metro/cote-vertu,"0",STATION_M222,,"1",,,0.028169014085,"1",4.683882723702,"2"
"29","1000000000000028","54","(603516.8296622803, 5040379.106658606)","54",Station Du Collège,"10224",,"45.509258","-73.674796",,http://www.stm.info/fr/infos/reseaux/metro/du-college,"0",STATION_M224,,"1",,,0.056338028169,"2",4.97398807258,"3"
"30","1000000000000029","53","(604569.5078849804, 5039373.415383241)","53",Station De la Savane,"10228",,"45.500051","-73.661538",,http://www.stm.info/fr/infos/reseaux/metro/de-la-savane,"0",STATION_M228,,"2",,,0.056338028169,"2",5.28970228557,"3"
"31","1000000000000030","52","(605260.0659308465, 5038783.982348514)","52",Station Namur,"10230",,"45.494643","-73.652828",,http://www.stm.info/fr/infos/reseaux/metro/namur,"0",STATION_M230,,"2",,,0.056338028169,"2",5.633802816901,"3"
"32","1000000000000031","51","(606398.3181828553, 5038803.287421635)","51",Station Plamondon,"10232",,"45.494644","-73.638260",,http://www.stm.info/fr/infos/reseaux/metro/plamondon,"0",STATION_M232,,"2",,,0.056338028169,"2",6.009389671362,"3"
"33","1000000000000032","50","(606805.8144940275, 5038555.946759141)","50",Station Côte-Sainte-Catherine,"10234",,"45.492356","-73.633100",,http://www.stm.info/fr/infos/reseaux/metro/cote-sainte-catherine,"0",STATION_M234,,"2",,,0.056338028169,"2",6.419914837864,"4"
"35","1000000000000034","48","(607867.5351397361, 5037168.65387936)","48",Station Villa-Maria,"10238",,"45.479709","-73.619821",,http://www.stm.info/fr/infos/reseaux/metro/villa-maria,"0",STATION_M238,,"2",,,0.056338028169,"2",7.361502347418,"4"
"36","1000000000000035","47","(609137.8222681818, 5036567.388855331)","47",Station Vendôme,"10242",,"45.474101","-73.603706",,http://www.stm.info/fr/infos/reseaux/metro/vendome,"0",STATION_M242,,"2",,,0.056338028169,"2",7.901433646602,"5"
"37","1000000000000036","46","(610466.3083669314, 5036948.344332836)","46",Station Place-Saint-Henri,"10244",,"45.477320","-73.586629",,http://www.stm.info/fr/infos/reseaux/metro/place-saint-henri,"0",STATION_M244,,"2",,,0.056338028169,"2",8.494041170098,"5"
"38","1000000000000037","17","(611207.6732120515, 5038247.994237526)","17",Station Georges-Vanier,"10248",,"45.488897","-73.576852",,http://www.stm.info/fr/infos/reseaux/metro/georges-vanier,"0",STATION_M248,,"2",,,0.056338028169,"2",8.833802816901,"5"
"39","1000000000000038","16","(611647.6188427781, 5038905.701201342)","16",Station Lucien-L'Allier,"10250",,"45.494745","-73.571074",,http://www.stm.info/fr/infos/reseaux/metro/lucien-l-allier,"0",STATION_M250,,"2",,,0.056338028169,"2",8.510407338055,"5"
"40","1000000000000039","15","(611940.9528709895, 5039282.217941983)","15",Station Bonaventure,"10252",,"45.498086","-73.567235",,http://www.stm.info/fr/infos/reseaux/metro/bonaventure,"0",STATION_M252,,"2",,,0.056338028169,"2",8.179447052686,"5"
"41","1000000000000040","14","(612254.9558890176, 5039715.7969942875)","14",Station Square-Victoria–OACI,"10254",,"45.501937","-73.563118",,http://www.stm.info/fr/infos/reseaux/metro/square-victoria–oaci,"0",STATION_M254,,"2",,,0.056338028169,"2",7.845295574513,"5"
"42","1000000000000041","13","(612525.0677937488, 5040210.840294044)","13",Station Place-d'Armes,"10256",,"45.506348","-73.559548",,http://www.stm.info/fr/infos/reseaux/metro/place-d-armes,"0",STATION_M256,,"1",,,0.056338028169,"2",7.511737089202,"4"
"43","1000000000000042","12","(612748.2843809426, 5040625.927550658)","12",Station Champ-de-Mars,"10258",,"45.510047","-73.556596",,http://www.stm.info/fr/infos/reseaux/metro/champ-de-mars,"0",STATION_M258,,"1",,,0.056338028169,"2",7.181953509676,"4"
"44","1000000000000043","99","(612390.0101310406, 5041193.496767732)","9999112",Station Berri-UQAM 2,"10146",,"45.515212","-73.561051",,http://www.stm.info/fr/infos/reseaux/metro/berri-uqam,"0",STATION_M146,,"1",,,0.056338028169,"2",6.858542559706,"4"
"45","1000000000000044","10","(611744.5836733982, 5041609.599538768)","10",Station Sherbrooke,"10262",,"45.519060","-73.569217",,http://www.stm.info/fr/infos/reseaux/metro/sherbrooke,"0",STATION_M262,,"2",,,0.056338028169,"2",6.543557642149,"4"
"46","1000000000000045","9","(610737.9124307383, 5042244.194417361)","9",Station Mont-Royal,"10264",,"45.524931","-73.581959",,http://www.stm.info/fr/infos/reseaux/metro/mont-royal,"0",STATION_M264,,"2",,,0.056338028169,"2",6.238561311371,"4"
"47","1000000000000046","8","(610346.6872761908, 5042511.568553521)","8",Station Laurier,"10266",,"45.527399","-73.586907",,http://www.stm.info/fr/infos/reseaux/metro/laurier,"0",STATION_M266,,"2",,,0.056338028169,"2",5.944685610297,"3"
"48","1000000000000047","7","(609489.2202764334, 5042978.175125256)","7",Station Rosemont,"10268",,"45.531733","-73.597780",,http://www.stm.info/fr/infos/reseaux/metro/rosemont,"0",STATION_M268,,"1",,,0.056338028169,"2",5.662694113398,"3"
"49","1000000000000048","6","(608942.8334225448, 5043371.058765833)","6",Station Beaubien,"10270",,"45.535354","-73.604688",,http://www.stm.info/fr/infos/reseaux/metro/beaubien,"0",STATION_M270,,"2",,,0.056338028169,"2",5.39304201276,"3"
"50","1000000000000049","97","(608216.3248187897, 5043769.876238613)","9999052",Station Jean-Talon 2,"10272",,"45.539056","-73.613902",,http://www.stm.info/fr/infos/reseaux/metro/jean-talon,"0",STATION_M272,,"1",,,0.056338028169,"2",5.135931870292,"3"
"51","1000000000000050","4","(607048.0863575309, 5044209.331442541)","4",Station Jarry,"10274",,"45.543191","-73.628765",,http://www.stm.info/fr/infos/reseaux/metro/jarry,"0",STATION_M274,,"2",,,0.056338028169,"2",4.891363685992,"3"
"52","1000000000000051","3","(606239.56803379, 5044516.844407826)","3",Station Crémazie,"10276",,"45.546082","-73.639052",,http://www.stm.info/fr/infos/reseaux/metro/cremazie,"0",STATION_M276,,"2",,,0.056338028169,"2",4.659178700897,"2"
"53","1000000000000052","2","(604906.5365829748, 5045013.906615069)","2",Station Sauvé,"10278",,"45.550757","-73.656017",,http://www.stm.info/fr/infos/reseaux/metro/sauve,"0",STATION_M278,,"2",,,0.056338028169,"2",4.439096892915,"2"
"54","1000000000000053","1","(603949.4289497694, 5045500.249272267)","1",Station Henri-Bourassa,"10280",,"45.555277","-73.668172",,http://www.stm.info/fr/infos/reseaux/metro/henri-bourassa,"0",STATION_M280,,"1",,,0.056338028169,"2",4.230748475527,"2"
"55","1000000000000054","66","(602837.3472308243, 5046006.412145891)","66",Station Cartier,"10282",,"45.559997","-73.682310",,http://www.stm.info/fr/infos/reseaux/metro/cartier,"0",STATION_M282,,"1",,,0.056338028169,"2",4.033699916393,"2"
"56","1000000000000055","67","(600722.7568179719, 5046049.940798516)","67",Station De la Concorde,"10286",,"45.560698","-73.709389",,http://www.stm.info/fr/infos/reseaux/metro/de-la-concorde,"0",STATION_M286,,"1",,,0.056338028169,"2",3.847475094469,"2"
"57","1000000000000056","68","(599706.7432701974, 5045782.313114633)","68",Station Montmorency,"10288",,"45.558436","-73.722459",,http://www.stm.info/fr/infos/reseaux/metro/montmorency,"0",STATION_M288,,"1",,,0.028169014085,"1",3.671572243101,"2"
"58","1000000000000057","44","(615412.6550873149, 5042323.955042575)","44",Station Longueuil–Université-de-Sherbrooke,"10454",,"45.524890","-73.522098",,http://www.stm.info/fr/infos/reseaux/metro/longueuil–universite-de-sherbrooke,"0",STATION_M454,,"2",,,0.028169014085,"1",1.8779342723,"1"
"59","1000000000000058","45","(614576.672164748, 5040923.780528582)","45",Station Jean-Drapeau,"10452",,"45.512429","-73.533127",,http://www.stm.info/fr/infos/reseaux/metro/jean-drapeau,"0",STATION_M452,,"2",,,0.056338028169,"2",2.816901408451,"1"
"61","1000000000000060","98","(607236.4960154113, 5037790.611875766)","9999495",Station Snowdon 5,"10236",,"45.485403","-73.627757",,http://www.stm.info/fr/infos/reseaux/metro/snowdon,"0",STATION_M236,,"2",,,0.028169014085,"1",2.582159624413,"1"
"62","1000000000000061","55","(607556.2883718411, 5039067.73213514)","55",Station Côte-des-Neiges,"10534",,"45.496846","-73.623386",,http://www.stm.info/fr/infos/reseaux/metro/cote-des-neiges,"0",STATION_M534,,"2",,,0.056338028169,"2",3.043259557344,"1"
"63","1000000000000062","56","(607988.491796765, 5039779.937841977)","56",Station Université-de-Montréal,"10536",,"45.503188","-73.617699",,http://www.stm.info/fr/infos/reseaux/metro/universite-de-montreal,"0",STATION_M536,,"2",,,0.056338028169,"2",3.550469483568,"2"
"64","1000000000000063","57","(608353.7617910105, 5040534.361550047)","57",Station Édouard-Montpetit,"10538",,"45.509920","-73.612858",,http://www.stm.info/fr/infos/reseaux/metro/edouard-montpetit,"0",STATION_M538,,"2",,,0.056338028169,"2",4.057679409792,"2"
"65","1000000000000064","58","(608168.2931539736, 5041692.467937358)","58",Station Outremont,"10540",,"45.520370","-73.614976",,http://www.stm.info/fr/infos/reseaux/metro/outremont,"0",STATION_M540,,"2",,,0.056338028169,"2",4.484803558191,"2"
"66","1000000000000065","59","(607515.6785823115, 5042024.412043307)","59",Station Acadie,"10542",,"45.523458","-73.623257",,http://www.stm.info/fr/infos/reseaux/metro/acadie,"0",STATION_M542,,"2",,,0.056338028169,"2",4.733959311424,"2"
"67","1000000000000066","60","(607401.2107706732, 5042769.130461541)","60",Station Parc,"10544",,"45.530177","-73.624559",,http://www.stm.info/fr/infos/reseaux/metro/parc,"0",STATION_M544,,"2",,,0.056338028169,"2",4.733959311424,"2"
"68","1000000000000067","61","(607757.0680845125, 5043359.781891012)","61",Station De Castelnau,"10546",,"45.535437","-73.619873",,http://www.stm.info/fr/infos/reseaux/metro/de-castelnau,"0",STATION_M546,,"2",,,0.056338028169,"2",4.484803558191,"2"
"70","1000000000000069","62","(608654.0017673074, 5044632.82368993)","62",Station Fabre,"10552",,"45.546753","-73.608106",,http://www.stm.info/fr/infos/reseaux/metro/fabre,"0",STATION_M552,,"2",,,0.056338028169,"2",3.550469483568,"2"
"71","1000000000000070","63","(609118.2960401011, 5045403.809509932)","63",Station D'Iberville,"10554",,"45.553618","-73.601988",,http://www.stm.info/fr/infos/reseaux/metro/d-iberville,"0",STATION_M554,,"2",,,0.056338028169,"2",3.043259557344,"1"
"72","1000000000000071","64","(609261.7893037662, 5046066.654104042)","64",Station Saint-Michel,"10556",,"45.559560","-73.600002",,http://www.stm.info/fr/infos/reseaux/metro/saint-michel,"0",STATION_M556,,"2",,,0.028169014085,"1",2.582159624413,"1"
